// INIZIALIZZAZIONE ALBERO
// **********************************************************************************************
//  I parametri d'inizializzazione di ogni nodo sono i seguenti:
//   idAppartenenza, idProprio, decisione, domanda, parteSoluzione, identificatoreSoluzione
// **********************************************************************************************
//  Identificatori soluzioni:
//      [A] Soggetto
//      [W] Caratteristica
//      [S] Stato
//      [D] Colori
//      [R] Stile
// **********************************************************************************************
//
173,294,Y,ti piace lo stile di Monet ?,impressionista,[R]
173,295,N,ti piace lo stile di Monet ?,impressionista,[R]
174,297,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
175,298,Y,ti piace lo stile di Monet ?,impressionista,[R]
175,299,N,ti piace lo stile di Monet ?,impressionista,[R]
179,303,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
181,305,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
183,307,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
184,309,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
185,311,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
187,313,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
188,315,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
189,317,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
191,319,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
192,321,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
193,323,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
194,325,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
195,326,Y,ti piace lo stile di Monet ?,impressionista,[R]
195,327,N,ti piace lo stile di Monet ?,impressionista,[R]
196,329,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
197,330,Y,ti piace lo stile di Monet ?,impressionista,[R]
197,331,N,ti piace lo stile di Monet ?,impressionista,[R]
199,333,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
200,335,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
201,337,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
202,339,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
203,340,Y,ti piace lo stile di Monet ?,impressionista,[R]
203,341,N,ti piace lo stile di Monet ?,impressionista,[R]
204,343,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
205,344,Y,ti piace lo stile di Monet ?,impressionista,[R]
205,345,N,ti piace lo stile di Monet ?,impressionista,[R]
209,349,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
211,351,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
213,353,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
214,355,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
215,357,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
217,359,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
218,361,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
219,363,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
221,365,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
222,367,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
223,369,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
225,371,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
226,373,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
227,375,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
229,377,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
230,379,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
231,381,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
233,383,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
234,385,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
235,387,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
263,401,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
265,403,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
269,407,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
271,409,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
275,413,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
277,415,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
279,417,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
280,419,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
281,421,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
283,423,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
284,425,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
285,427,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
289,431,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
291,433,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
293,435,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
294,437,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
295,439,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
297,441,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
298,443,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
299,445,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
309,446,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
311,447,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
315,448,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
317,449,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
321,450,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
323,451,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
325,452,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
326,453,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
327,454,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
329,455,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
330,456,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
331,457,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
335,458,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
337,459,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
339,460,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
340,461,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
341,462,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
343,463,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
344,464,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
345,465,N,Vuoi disegnare qualcosa di semplice e veloce ?,stilizzato,[R]
355,466,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
357,467,N,ti piace lo stile di Edward Munch ?,espressionista,[R]
